GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
771,708BNG,708,22-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),BNP: Bangladesh Nationalist Party,6,,,0,60,Bangladesh,Chittagong,Comilla,Comilla Sadar Dakshin,Comilla,23.46,91.18,2,United News of Bangladesh,"The 20-party men also staged demonstrations in different district and upazilas, including Sylhet, Bogra, Munhsiganj, Thakurgaon, Barisal, Noakhali, Chittagong, Feni, Rajshahi and Comilla districts on 23/02.",0
771,709BNG,709,22-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),BNP: Bangladesh Nationalist Party,6,,,0,60,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,United News of Bangladesh,"The BNP-led 20-party alliance on Monday staged scattered demonstrations at different parts of the country and Dhaka city, demanding snap polls under a non-party administration and protesting the 'growing incidents of enforced disappearance and extrajudicial killing'.
Though the alliance activists staged demonstrations at different districts, they only took out some sudden processions at in different areas of the capital.",0
771,710BNG,710,22-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),BNP: Bangladesh Nationalist Party,6,,,0,60,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,3,United News of Bangladesh,48nd day of the countrywide indefinite blockade enforced by the BNP-led 20-party alliance.,0
771,716BNG,716,22-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,Civilians (Bangladesh),,7,57,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,The New Nation (Bangladesh),"Local people caught the three youths red-handed when they were trying to hurl petrol bombs at a running passenger bus at Sheorapara in city.""As soon as the news spread, local people cordoned off the area and started beating them indiscriminately at about 11.30pm on Sunday. At one stage they were taken to the DMCH where they died",3
771,711BNG,711,22-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),BNP: Bangladesh Nationalist Party,6,,,0,60,Bangladesh,Chittagong,Feni,Feni Sadar,Feni,23.01,91.39,2,United News of Bangladesh,"The 20-party men also staged demonstrations in different district and upazilas, including Sylhet, Bogra, Munhsiganj, Thakurgaon, Barisal, Noakhali, Chittagong, Feni, Rajshahi and Comilla districts on 23/02.",0
771,712BNG,712,22-February-2015,2015,1,Violence against civilians,Unidentified Armed Group (Bangladesh),,3,Civilians (Bangladesh),,7,37,Bangladesh,Khulna,Jhenaidah,Jhenaidah,Jhenaidah,23.50,89.16,2,The New Nation (Bangladesh),"In Jhenidah, assailants shot dead two youths at village Defalbaria in Jhenidah Sadar upazila. The deceased have been identified as Delwar Hossain Dulal, 30, son of Nasir Uddin Biswas, and Ghulam Azam Palash, 23, son of Jhenidah Municipality Commissioner Ghulam Mostafa.Shahabuddin Azad, Officer-in-Charge of Jhenidah Sadar police station said that they were murdered late Sunday night. Geo-coordinates are for Jhenidah Sadar upazila",2
771,713BNG,713,22-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),BNP: Bangladesh Nationalist Party,6,,,0,60,Bangladesh,Dhaka,Munshiganj,Munshiganj Sadar,Munshiganj,23.55,90.36,2,United News of Bangladesh,"The 20-party men also staged demonstrations in different district and upazilas, including Sylhet, Bogra, Munhsiganj, Thakurgaon, Barisal, Noakhali, Chittagong, Feni, Rajshahi and Comilla districts on 23/02.",0
771,714BNG,714,22-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),BNP: Bangladesh Nationalist Party,6,,,0,60,Bangladesh,Chittagong,Noakhali,Noakhali Sadar,Noakhali,22.81,91.08,2,United News of Bangladesh,"The 20-party men also staged demonstrations in different district and upazilas, including Sylhet, Bogra, Munhsiganj, Thakurgaon, Barisal, Noakhali, Chittagong, Feni, Rajshahi and Comilla districts on 23/02.",0
771,715BNG,715,22-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),BNP: Bangladesh Nationalist Party,6,,,0,60,Bangladesh,Rajshahi,Rajshahi,Rajshahi,Rajshahi,24.37,88.60,2,United News of Bangladesh,"The 20-party men also staged demonstrations in different district and upazilas, including Sylhet, Bogra, Munhsiganj, Thakurgaon, Barisal, Noakhali, Chittagong, Feni, Rajshahi and Comilla districts on 23/02.",0
771,717BNG,717,22-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),BNP: Bangladesh Nationalist Party,6,,,0,60,Bangladesh,Sylhet,Sylhet,Sylhet Sadar,Sylhet,24.89,91.86,2,United News of Bangladesh,"The 20-party men also staged demonstrations in different district and upazilas, including Sylhet, Bogra, Munhsiganj, Thakurgaon, Barisal, Noakhali, Chittagong, Feni, Rajshahi and Comilla districts on 23/02.",0
771,718BNG,718,22-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),BNP: Bangladesh Nationalist Party,6,,,0,60,Bangladesh,Rangpur,Thakurgaon,Thakurgaon Sadar,Thakurgaon,26.03,88.46,1,United News of Bangladesh,"The 20-party men also staged demonstrations in different district and upazilas, including Sylhet, Bogra, Munhsiganj, Thakurgaon, Barisal, Noakhali, Chittagong, Feni, Rajshahi and Comilla districts on 23/02.",0
771,719BNG,719,23-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party Militia,5,Civilians (Bangladesh),,7,57,Bangladesh,Chittagong,Chittagong,Chittagong,Chittagong,22.33,91.83,1,The New Nation (Bangladesh),"In Chittagong, a bus was torched on 23/02 in front of Export Processing Zone (EPZ) gate No 2. Two persons received burn injuries in the incident. They were admittted to the Chittagong Medical College and Hospital immediately.",0
771,720BNG,720,23-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,The Financial Express (Bangladesh),"In Dhaka, unknown assailants torched a bus, parked in a petrol pump in Signboard area on Dhaka-Chittagong Highway, in the afternoon (23/02). None was hurt in the petrol bomb attack, as there was no passenger inside the vehicle.",0
771,721BNG,721,23-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),BNP: Bangladesh Nationalist Party,6,,,0,60,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,3,United News of Bangladesh,49st day of the countrywide indefinite blockade enforced by the BNP-led 20-party alliance.,0
771,722BNG,722,23-February-2015,2015,1,Violence against civilians,Unidentified Armed Group (Bangladesh),,3,Civilians (Bangladesh),,7,37,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,Bangladesh Government News,"A female college student sustained critical splinter injuries in explosions of several crude bombs at Laxmi Bazar area in the old city today (23/02), on the first-day of BNP-Jamaat alliance enforced 72-hour countrywide hartal. Pro-hartal activists exploded three crude bombs in front of them that left Sharmin critically injured. The victim was rushed to emergency department of Dhaka Medical College and Hospital (DMCH) in critical condition.",0
771,723BNG,723,23-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Rajshahi,Bogra,Bogra Sadar,Gokul,24.62,88.45,1,The Financial Express (Bangladesh),assailants set a vegetable-laden truck torched by hurling a petrol bomb in Gokul area on the Bogra-Rangpur Highway of Bogra district on Monday night (23/02).,0
771,724BNG,724,23-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Dhaka,Kishoreganj,Hossainpur,Hossainpur,24.22,90.65,1,The New Nation (Bangladesh),"In Kishoreganj, a gang of unidentified assailants hurled some petrol bombs at Agrani Bank in Chharkundi Bazaar under Hossinpur upazila in the early hours of the day (23/02).",0
771,725BNG,725,23-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Dhaka,Dhaka,Dhaka,Jigatala,24.80,90.09,1,The Financial Express (Bangladesh),"Two crude bombs were blasted at the residence of Awami League leader Suranjit Sengupta at Jigatala of the city on Monday (23/02) night, reports UNB. assailants hurled the crude bombs at the house around 8:20pm.",0
771,726BNG,726,23-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Rajshahi,Joypurhat,Joypurhat Sadar,Joypurhat,25.09,89.02,1,The New Nation (Bangladesh),Pro-hartal activists torched a banana-laden truck and a passenger bus on Joypurhat-Bogra highway at Matirghar area on Tuesday.,0
771,727BNG,727,23-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Rajshahi,Joypurhat,Joypurhat Sadar,Joypurhat,25.09,89.02,2,The New Nation (Bangladesh),"In Joypurhat, one passenger bus and a banana laden truck were torched at Khetlal upazila in the afternoon (23/02).",0
771,728BNG,728,23-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Dhaka,Dhaka,Dhaka,Karwanbazar,23.75,90.39,1,The Financial Express (Bangladesh),"A staff bus which was parked in front of Petrobangla building in the capital's Karwanbazar area was torched by unknown assailants in the afternoon, but no casualty was reported as there was no one inside the vehicle during the arson attack (23/02)",0
771,729BNG,729,23-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party Militia,5,,,0,50,Bangladesh,Dhaka,Dhaka,Dhaka,Karwanbazar,23.75,90.39,1,The Financial Express (Bangladesh),"At least six people were injured in a series of bomb explosions in the city's Karwanbazar area on 23/02.Officer-in-Charge (OC) of Tejgaon Police Station Mazaharul Islam said pickets exploded seven hand-bombs in and outside the underpass in the area at around 12:30 pm, leaving at least six people injured.",0
771,730BNG,730,23-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Chittagong,Kishoreganj,Kishoreganj Sadar,Kishoreganj,24.43,90.78,1,The New Nation (Bangladesh),Another gang of assailants also set a two-storied building ablaze in Kishoreganj (23/02).,0
771,731BNG,731,23-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Chittagong,Lakshmipur,Lakshmipur Sadar,Lakshmipur,22.94,90.83,1,The New Nation (Bangladesh),"In Lakkhipur, a gang of assailants hurled petrol bombs at the office of district fisheries officer early in the morning (23/02).",0
771,732BNG,732,23-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,Police Forces of Bangladesh,,1,15,Bangladesh,Dhaka,Dhaka,Dhaka,Mirpur,23.99,90.32,1,The Financial Express (Bangladesh),"Unknown assailants hurled two bombs at a bus carrying students of Dhaka University in the morning (23/02).
Yunus Ali, the driver of Boishakhi Paribahan that was carrying DU students from Mirpur area to the campus, was injured in the attack. Police arrested a person in connection with the blast.",0
771,733BNG,733,23-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party Militia,5,Civilians (Bangladesh),,7,57,Bangladesh,Dhaka,Dhaka,Dhaka,Nababpur,23.19,90.96,1,The New Nation (Bangladesh),"At Nababpur, two persons were injured in cocktail blast in the afternoon (23/02).",0
771,734BNG,734,23-February-2015,2015,1,Violence against civilians,Unidentified Armed Group (Bangladesh),,3,Civilians (Bangladesh),,7,37,Bangladesh,Dhaka,Narayanganj,Narayanganj Sadar,Narayanganj,23.61,90.50,1,The Financial Express (Bangladesh),"In Narayanganj, two passengers were injured when a bus was firebombed in Siddhirganj area in the afternoon (23/02). The injured passengers were taken to a local hospital for treatment.",0
771,735BNG,735,23-February-2015,2015,1,Remote violence,Unidentified Armed Group (Bangladesh),,3,,,0,30,Bangladesh,Dhaka,Dhaka,Dhaka,Nayapaltan,23.73,90.41,1,The New Nation (Bangladesh),At least three cocktails were exploded near Nayapaltan intersection in the city on 23/02.,0
771,736BNG,736,23-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Rajshahi,Rajshahi,Rajshahi,Rajshahi,24.37,88.60,1,The New Nation (Bangladesh),"In Rajshahi, assailants set the Charghat upazila land office ablaze early in the morning (23/02).",0
771,737BNG,737,23-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Rangpur,Gaibandha,Sundarganj,Sundarganj,25.55,89.51,1,The New Nation (Bangladesh),"In Gaibandha, at least two vehicles, including two auto-rickshaws, were torched in Sundarganj upazila in the district (23/02).",0
771,738BNG,738,24-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),BNP: Bangladesh Nationalist Party,6,,,0,60,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,3,United News of Bangladesh,50th day of the countrywide indefinite blockade enforced by the BNP-led 20-party alliance.,0
771,740BNG,740,24-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,Civilians (Bangladesh),,7,57,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,The Financial Express (Bangladesh),"Unknown pickets blast three bombs at Bangabazar in Gulistan area (24/02), leaving four people wounded. They were immediately taken to Dhaka Medical College Hospital (DMCH) for treatment.",0
771,739BNG,739,24-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party Militia,5,Civilians (Bangladesh),,7,57,Bangladesh,Dhaka,Dhaka,Dhaka,Fakirapul,23.73,90.41,1,The Financial Express (Bangladesh),"Meanwhile, at least five people were injured in hand-bomb explosions by 'pro-blockade activists' in Gulistan and Fakirerpul areas in the capital on the day (24/02). Police said a bomb was exploded in Fakirerpul area at about 8:00 am that left a youth named Alamgir (26) injured. This event is for the explosion in Fakirepul area.",0
771,741BNG,741,24-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),JMD: Jatiyatabadi Mahila Dal,6,,,0,60,Bangladesh,Dhaka,Dhaka,Dhaka,Sher-e-Bangla Nagar,23.77,90.37,1,The New Nation (Bangladesh),Jatiyatabadi Mahila Dal brought out a procession in the city's Sher-e-Bangla Nagar area on Tuesday supporting hartal and blockade.,0
771,742BNG,742,25-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Rajshahi,Bogra,Bogra Sadar,Bogra,24.85,89.36,1,The Financial Express (Bangladesh),"assailants set afire a bus at Charmtha Bhaber Bazar on the Dhaka-Bogra highway in Bogra town Wednesday night.
Witnesses said some unidentified assailants torched the bus parked in the area at about 10pm.
No casualty was reported in the incident.",0
771,743BNG,743,25-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),BNP: Bangladesh Nationalist Party,6,,,0,60,Bangladesh,Rajshahi,Bogra,Bogra Sadar,Bogra,24.85,89.36,1,The New Nation (Bangladesh),"BOGRA: 20-party alliance, Bogra District Unit brought out a procession on Wednesday at Khandar area  supporting hartal on Monday.",0
771,744BNG,744,25-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Dhaka,Gazipur,Gazipur Sadar,Chandana,23.56,89.60,1,The Financial Express (Bangladesh),"Two other buses were also torched in separate incidents in Gazipur. No injury was reported in the attacks.
 - one of VIP Paribahan and the other of Palash Paribahan - were torched respectively at Chandana Chowrasta at around 3.0 pm and in front of Seba Hospital beside Dhaka-Tangail Highway at around 4.0 pm on Wednesday (25/02)",0
771,745BNG,745,25-February-2015,2015,1,Violence against civilians,BNP: Bangladesh Nationalist Party Militia,,3,Civilians (Bangladesh),,7,37,Bangladesh,Chittagong,Chittagong,Chittagong,Chittagong,22.33,91.83,1,The Financial Express (Bangladesh),Some assailants hurled a powerful bomb at a moving vehicle in Chittagong but the bomb missed the target and exploded on the street resulting in the death of a passer-by. Another pedestrian was injured in the bomb explosion. Police and local people said the incident took place in the port city's Chandgaon area (Chittagong) on Wednesday night,1
771,746BNG,746,25-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),BNP: Bangladesh Nationalist Party,6,,,0,60,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,3,United News of Bangladesh,51th day of the countrywide indefinite blockade enforced by the BNP-led 20-party alliance.,0
771,747BNG,747,25-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,The Financial Express (Bangladesh),A passenger bus of Ananda Paribahan was torched in Demra in the city at around 6 pm on Wednesday (25/02). No injury was reported. Geo-coordinates are for Rupganj upazila.,0
771,752BNG,752,25-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,The New Nation (Bangladesh),Pro-hartal activists torched a passenger bus at Swamibagh in city on Wednesday afternoon.,0
771,748BNG,748,25-February-2015,2015,1,Battle-No change of territory,BNP: Bangladesh Nationalist Party Militia,,3,BNP: Bangladesh Nationalist Party Militia,,3,33,Bangladesh,Chittagong,Feni,Fulgazi,Fulgazi,23.14,91.44,1,The Financial Express (Bangladesh),"At least three Jatiyotabadi Chhatra Dal activists were shot at and injured  in Fulgazi, Feni during a clash between BNP and Awami League on Wednesday /25/02)",0
771,749BNG,749,25-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),JeI: Jamaat-e-Islami,6,,,0,60,Bangladesh,Dhaka,Mymensingh,Mymensingh,Mymensingh,24.75,90.40,1,The New Nation (Bangladesh),"MYMENSINGH: A procession was brought out by Bangladesh Jamaat-e- Islami on Wednesday (25/02), Mymensingh City Unit to make hartal programme successful on Monday.",0
771,750BNG,750,25-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,Civilians (Bangladesh),,7,57,Bangladesh,Dhaka,Narayanganj,Rupganj,Rupganj,23.83,90.54,1,United News of Bangladesh,"Three people sustained burn injuries as assailants set afire a stationary bus at Sawghat on the Dhaka-Sylhet highway in Rupganj upazila early Wednesday. Witnesses said some unidentified assailants torched the bus of 'Asian Paribahan' around 3:30am, leaving the trio, who were sleeping at its backside, injured.they were whisked off to the burn unit of Dhaka Medical College Hospital (DMCH).",0
771,751BNG,751,25-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,Civilians (Bangladesh),,7,57,Bangladesh,Dhaka,Narayanganj,Rupganj,Rupganj,23.83,90.54,2,The Financial Express (Bangladesh),"Three people sustained burn injuries, as assailants set afire a stationary bus on Dhaka-Sylhet Highway at Sawghat in Rupganj, Narayanganj early Wednesday, on the 51st day of countrywide indefinite blockade transport blockade along with strike.",0
771,753BNG,753,26-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),BNP: Bangladesh Nationalist Party,6,Police Forces of Bangladesh,,1,16,Bangladesh,Rajshahi,Natore,Boraigram,Bonpara,24.29,89.08,1,The New Nation (Bangladesh),The police intercepted a procession of the BNP at Bonpara under Boraigram upazila by charging batons. Convener of Boraigram municipality unit of BNP and four others were injured while an activist was arrested from the spot.,0
771,754BNG,754,26-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),JDC: Bangladesh Jatiotabadi Chatra Dal,6,,,0,60,Bangladesh,Chittagong,Chittagong,Chittagong,Chittagong,22.33,91.83,1,The New Nation (Bangladesh),"In Chittagong, the JCD men brought out a procession on the Chittagong University campus on Thursday morning.",0
771,755BNG,755,26-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),BNP: Bangladesh Nationalist Party,6,,,0,60,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,3,United News of Bangladesh,52th day of the countrywide indefinite blockade enforced by the BNP-led 20-party alliance.,0
771,756BNG,756,26-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,Police Forces of Bangladesh,,1,15,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,The New Nation (Bangladesh),"The BNP-led 20-party alliance on Thursday staged demonstrations by bringing out sudden and brief processions in the capital city. They demanded fresh polls under a non-party government system and protested arrest warrant against BNP Chairperson Begum Khaleda Zia. 
Police foiled several processions by charging batons. Consequently, some activists were injured and several others arrested",0
771,757BNG,757,26-February-2015,2015,1,Battle-No change of territory,Bangladesh Awami League Militia,,3,Bangladesh Awami League Militia,,3,33,Bangladesh,Khulna,Khulna,Khulna,Khulna,22.82,89.55,1,The New Nation (Bangladesh),"At least 10 persons were injured in a fierce clash between two factions of ruling Awami League during a council meeting at district stadium gymnasium in Khulna on Thursday. Of the injured, there were central AL leader SM Kamal Hossain and District Jubo League president Kamruzzaman Jamal. They received injuries when supporters of incumbent president, also aspirant for next committee Sheikh Harun-ar Rashid and current general Secretary SM Mostafa Rashidi Suja were locked in clash in favour of their nominees.",0
771,758BNG,758,26-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),BNP: Bangladesh Nationalist Party,6,Police Forces of Bangladesh,,1,16,Bangladesh,Rangpur,Kurigram,Kurigram Sadar,Kurigram,25.75,89.66,1,The New Nation (Bangladesh),"In Kurigram, the 20-party alliance brought out a procession in the district at noon defying police obstruction and held a rally on the premise of Muktijuddhya Smriti Falok. (26/03)",0
771,759BNG,759,26-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),JDC: Bangladesh Jatiotabadi Chatra Dal,6,Police Forces of Bangladesh,,1,16,Bangladesh,Rajshahi,Natore,Natore Sadar,Natore,24.35,89.08,1,The New Nation (Bangladesh),Police arrested at least two persons and foiled a procession of the JCD at Natore town on Thursday 26 February.,0
771,760BNG,760,26-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Chittagong,Feni,Chhagalnaiya,Radhanagar,23.70,90.77,1,United News of Bangladesh,"assailants torched a local land office at Radhanagar in Chhagalnaiya upazila early Thursday, the fifth day of the fresh 120-hour nationwide hartal enforced by the BNP-led 20-party alliance alongside its ongoing countrywide indefinite blockade transport blockade.",0
771,761BNG,761,27-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),BNP: Bangladesh Nationalist Party,6,,,0,60,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,3,United News of Bangladesh,53th day of the countrywide indefinite blockade enforced by the BNP-led 20-party alliance.,0
771,762BNG,762,27-February-2015,2015,1,Violence against civilians,Police Forces of India,,8,Civilians (Bangladesh),,7,78,Bangladesh,Rangpur,Kurigram,Phulbari,Phulbari,25.94,89.55,1,The Financial Express (Bangladesh),A Bangladeshi young man was shot to death allegedly by members of Indian Border Security Force (BSF) on Khalishakotal border in Phulbari Upazila under Kruigram district early Friday.,1
771,763BNG,763,27-February-2015,2015,1,Violence against civilians,Unidentified Armed Group (Bangladesh),,3,Civilians (Bangladesh),,7,37,Bangladesh,Dhaka,Narayanganj,Rupganj,Rupganj,23.83,90.54,1,United News of Bangladesh,"assailants hurled a petrol bomb at the pickup van carrying 15 workers of the mill on its way to the capital around 10pm, said Inspector Mozammel Haque, in-charge of the DMCH police camp. A man who received injuries to the head and a leg in an arson attack by assailants in Rupganj upazila of Narayanganj district on Friday night died at Dhaka Medical College Hospital (DMCH) early Saturday.",1
771,764BNG,764,28-February-2015,2015,1,Violence against civilians,BNP: Bangladesh Nationalist Party Militia,,3,Civilians (Bangladesh),,7,37,Bangladesh,Khulna,Jessore,Abhaynagar,Abhaynagar,23.10,89.26,1,United News of Bangladesh,"A man, who was injured after being hit by a petrol bomb container during an attack on a bus in Abhaynagar upazila of Jessore on Saturday night, died at a Khulna hospital on Sunday.",1
771,765BNG,765,28-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Rajshahi,Bogra,Bogra Sadar,Bogra,24.85,89.36,1,United News of Bangladesh,"In Bogra, a bus was torched at Banani in the district town on Saturday night.",0
771,766BNG,766,28-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),,6,,,0,60,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,The New Nation (Bangladesh),"A section of aggrieved teachers, and students brought out a rally in front of TSC of Dhaka University in protest against killing of blogger Avijit Roy.",0
771,767BNG,767,28-February-2015,2015,1,Riots/Protests,Protesters (Bangladesh),BNP: Bangladesh Nationalist Party,6,,,0,60,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,3,United News of Bangladesh,54th day of the countrywide indefinite blockade enforced by the BNP-led 20-party alliance.,0
771,770BNG,770,28-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Dhaka,Dhaka,Dhaka,Dhaka,23.42,90.22,1,United News of Bangladesh,"assailants torched four vehicles, including two of private television channel Desh TV, and vandalised three others in the city's Malibagh area on Saturday evening. They exploded some 15 crude bombs in front of the Desh TV office.
Later, they set fire to four vehicles, including two of the private television channel, throwing petrol bombs on them and vandalised three others.",0
771,768BNG,768,28-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Dhaka,Dhaka,Dhaka,Jatrabari,23.98,90.21,1,United News of Bangladesh,The alleged blockaders torched two pickups and a bus at Jatrabari around 6:30pm while a bus of 'Bihanga Paribahan' was set ablaze at Banani around 7:20pm. (28/02),0
771,769BNG,769,28-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,,,0,50,Bangladesh,Khulna,Magura,Magura Sadar,Magura,22.75,90.11,1,United News of Bangladesh,"In Magura, hartal supporters torched the municipal office on Saturday night by pouring petrol, burning down some documents and papers.",0
771,771BNG,771,28-February-2015,2015,1,Riots/Protests,Rioters (Bangladesh),BNP: Bangladesh Nationalist Party,5,Civilians (Bangladesh),,7,57,Bangladesh,Dhaka,Narayanganj,Narayanganj Sadar,Narayanganj,23.61,90.50,1,United News of Bangladesh,"In Narayanganj, a bus of 'Ananda Paribahan' was set alight at Galachipa intersection of the city around 5:45pm.
Police said the assailants set fire the Dhaka-bound bus from Narayanganj after pouring petrol on it. Five passengers suffered minor injuries in the incident.",0
771,772BNG,772,28-February-2015,2015,1,Violence against civilians,BNP: Bangladesh Nationalist Party Militia,,3,Civilians (Bangladesh),,7,37,Bangladesh,Sylhet,Habiganj,,Noapara,24.81,90.79,1,United News of Bangladesh,At least three persons received severe burn injuries when militants hurled petrol bombs on inter-city Paharika Express on Saturday night.The passenger train came under the attack of assailants at Noapara in Habiganj district at about 9:15 pm on Saturday night.,0
771,773BNG,773,28-February-2015,2015,1,Violence against civilians,Civilians (Bangladesh),,7,Police Forces of Bangladesh,,1,17,Bangladesh,Chittagong,Sunamganj,Shalla,Shalla,24.62,91.25,1,The New Nation (Bangladesh),A fisherman was killed in Sullah upazila of Sunamganj district when the police engaged in a battle with fishermen who were fishing illegally  on Saturday morning.,1
771,774BNG,774,01-March-2015,2015,1,Riots/Protests,Rioters (Bangladesh),,5,,,0,50,Bangladesh,Dhaka,Narayanganj,Bandar,Bandar,23.61,90.53,1,The New Nation (Bangladesh),"In Narayanganj, unidentified assailants on March 1 set fire to the land office at Bandar union in the district.",0
